VIDEOGAME_ID,NAME,RELEASE_DATE,REQUIRED_AGE,PRICE,POSITIVE_RATINGS,NEGATIVE_RATINGS
359340,Pixel Puzzles Mosaics,2017-06-09,0,6.99,18,3
359350,Defunct,2016-01-29,0,6.99,320,72
359370,Pirates Life,2015-04-17,0,3.99,25,41
359390,Amnesia™: Memories,2015-08-25,0,15.49,1803,125
359400,Why Am I Dead At Sea,2015-05-11,0,3.99,258,17
359420,The Journeyman Project 1: Pegasus Prime,2017-02-20,0,6.99,21,1
359440,Artifact Adventure,2015-06-01,0,4.99,78,32
359450,In Space We Brawl,2015-07-17,0,2.89,14,7
359550,Tom Clancys Rainbow Six® Siege,2015-12-01,0,16.99,251178,59620
359560,Shutter,2015-04-02,0,1.59,132,39
359580,Uncanny Valley,2015-04-23,0,6.99,260,167
359600,Assassin’s Creed® Chronicles: Russia,2016-02-09,16,8.59,277,167
359620,Call of Cthulhu: Prisoner of Ice,2015-11-04,0,4.79,27,10
359630,Independence War® 2: Edge of Chaos,2015-05-07,0,4.79,29,11
359650,Star Trek™ : 25th Anniversary,2015-05-07,0,6.99,68,5
359670,Vagrant Hearts 2,2015-05-20,0,6.99,9,5
359800,Copa Petrobras de Marcas,2015-04-08,0,0,1086,781
359810,Hare In The Hat,2015-04-01,0,1.59,236,106
359840,Shift Happens,2017-02-22,0,10.99,224,24
359870,FINAL FANTASY X/X-2 HD Remaster,2016-05-12,12,19.99,6334,723
359900,The Incredible Adventures of Van Helsing III,2015-05-22,0,10.99,387,281
359920,Highlands,2015-04-21,0,3.99,175,39
359940,Shadows Peak,2017-03-13,0,7.19,139,62
359960,Choice Chamber,2015-07-16,0,6.99,142,62
360010,Remnants Of Isolation,2015-05-01,0,1.59,62,10
360030,XLarn,2015-05-25,0,3.99,16,8
360040,Our Nations Miner,2015-12-22,0,4.79,14,14
360150,How To Survive: Third Person Standalone,2015-07-02,0,6.99,632,509
360170,How to Survive 2,2016-09-08,0,10.99,5823,2471
360380,Tiny Bridge: Ratventure,2015-05-08,0,1.59,575,292
360390,Nightside,2015-08-06,0,3.99,51,38
360400,Zombie Quarantine,2017-06-23,0,0.79,1,2
360430,Mafia III,2016-10-06,18,34.99,13366,13650
360450,Kiai Resonance,2015-04-23,0,3.99,138,32
360510,Into the Stars,2016-03-04,0,14.99,202,261
360530,WE ARE DOOMED,2015-04-21,0,6.99,19,0
360550,Cursed Sight,2015-08-03,0,4.79,144,20
360580,Abduction Action! Plus,2015-09-01,0,1.59,22,24
360590,"Once Bitten, Twice Dead!",2015-07-07,0,3.99,16,97
360600,99 Waves to Die,2015-04-09,0,1.99,13,7
360620,Spellsworn,2018-03-13,0,0,692,106
360640,12 Labours of Hercules II: The Cretan Bull,2015-06-05,0,1.99,1650,188
360650,12 Labours of Hercules III: Girl Power,2015-08-07,0,1.99,729,110
360680,Drone Zero Gravity,2015-10-02,0,6.99,7,2
360720,Soda Star,2015-05-14,0,2.79,4,3
360730,Cards and Castles,2015-12-18,0,0,461,192
360740,Downwell,2015-10-15,0,1.99,4486,149
360750,StarFence: Heroic Edition,2015-04-20,0,0.79,22,20
360830,Yooka-Laylee,2017-04-11,0,34.99,2434,791
360840,Lumini,2015-09-03,0,7.99,101,15
360850,Electric Circuit,2015-06-22,0,1.59,33,9
360870,Ultimate Tic-Tac-Toe,2015-04-28,0,0,1071,222
360880,Nightfall: Escape,2016-06-28,0,6.99,23,26
360890,The Lost Valley,2015-04-20,0,3.99,116,201
360940,The Mean Greens - Plastic Warfare,2015-12-08,0,3.99,5043,1370
360970,Heaven Forest NIGHTS,2017-03-14,0,0.79,185,93
360990,Ongaku,2015-05-28,0,2.89,5,1
361020,Luxor HD,2015-05-11,0,6.99,37,10
361040,Doom & Destiny Advanced,2016-11-15,0,6.99,248,16
361100,Slashers: The Power Battle,2017-11-03,0,5.19,14,1
361110,Prometheus - The Fire Thief,2015-04-20,0,3.99,3,2
361130,Card Dungeon,2015-06-02,0,4.79,29,19
361160,Steamalot: Epochs Journey,2015-08-31,0,3.99,9,1
361190,Sparkle 3 Genesis,2015-04-24,0,3.99,288,171
361200,COAST GUARD,2015-10-21,0,13.49,46,43
361230,Super Daryl Deluxe,2018-04-10,0,15.49,165,23
361250,Strange Space,2015-12-22,0,0.79,1,3
361280,Turmoil,2016-06-02,0,6.99,3154,359
361300,Mother Russia Bleeds,2016-09-05,0,10.99,2562,422
361320,Casino Inc.,2015-04-17,0,3.99,57,21
361330,Shrooms,2015-05-08,0,10.99,16,25
361350,Skyhook,2016-05-17,0,7.19,61,10
361360,Goosebumps: The Game,2015-10-13,0,6.99,108,17
361370,Deer Hunter: Reloaded,2017-10-24,0,7.19,1,12
361380,World War I,2015-04-09,0,3.99,100,33
361420,ASTRONEER,2019-02-05,0,23.79,28375,5246
361430,The Little Crane That Could,2015-04-27,0,8.99,21,14
361550,Cradle,2015-07-24,0,9.99,940,367
361560,Ice Cream Surfer,2015-06-22,0,1.99,10,34
361600,Luna Sky,2015-10-02,0,9.99,63,81
361620,True Bliss,2015-05-22,0,4.99,30,45
361630,404Sight,2015-04-16,0,0,1181,229
361670,STAR WARS™ - X-Wing Alliance™,2015-04-28,0,7.19,181,49
361680,Knight & Damsel,2015-08-20,0,6.99,5,1
361690,STAR WARS™ X-Wing vs TIE Fighter - Balance of Power Campaigns™,2015-04-28,0,7.19,111,39
361800,Tree of Life,2017-08-17,0,14.99,4433,2203
361830,in Space,2015-04-27,0,0.79,89,20
361850,Portal of Evil: Stolen Runes Collectors Edition,2015-05-26,0,3.99,153,18
361890,Chronostorm: Siberian Border,2015-11-20,0,0.79,23,19
361930,Farm Frenzy: Hurricane Season,2015-07-03,0,4.99,39,7
361950,MOAI 2: Path to Another World,2015-07-16,0,5.59,25,9
361970,Weather Lord: The Successors Path,2015-05-07,0,3.99,17,9
361990,Lakeview Cabin Collection,2015-04-09,0,6.99,901,84
362020,Queen At Arms,2016-02-03,0,18.99,14,2
362030,Mysteries & Nightmares: Morgiana,2015-04-13,0,5.59,5,0
362060,Construct: Embers of Life,2017-08-07,0,0,9,12
362090,Siralim,2015-04-24,0,7.19,193,28
362130,Ashes of Immortality,2015-06-26,0,6.99,49,12
362140,Ashes of Immortality II,2015-08-28,0,4.99,9,13
362150,Ashes of Immortality II - Bad Blood,2017-02-13,0,5.19,7,3
362160,Sydneys World,2016-02-01,0,3.99,40,3
362290,The Living Dungeon,2015-11-02,0,7.19,45,11
362310,Dungeon League,2018-10-31,0,11.39,40,9
362350,Boss Monster,2016-04-28,0,3.99,197,127
362370,Dog Fight,2016-01-25,0,5.99,5,3
362380,Push Me Pull You,2016-07-14,0,10.99,21,3
362400,Regimental Chess,2015-04-29,0,0,57,59
362410,Adams Venture Chronicles,2015-08-03,0,7.19,117,59
362490,Exanima,2015-04-29,0,10.99,2804,806
362610,High On Racing,2015-05-25,0,3.99,116,142
362620,Software Inc.,2015-05-01,0,10.59,2578,218
362660,Blue Rose,2015-04-23,0,12.39,82,42
362680,Fran Bow,2015-08-27,16,10.99,4896,192
362740,Age of Enigma: The Secret of the Sixth Ghost,2015-05-11,0,6.99,23,7
362780,18 Wheels of Steel: Extreme Trucker 2,2015-05-08,0,6.99,50,24
362790,Word Wonders: The Tower of Babel,2015-05-08,0,2.89,14,0
362810,Fighties,2015-07-13,0,3.99,217,42
362830,3D MiniGolf,2015-05-29,0,6.99,21,33
362860,Sylvio,2015-06-05,0,9.99,78,19
362890,Black Mesa,2015-05-05,0,14.99,14113,999
362920,Atlantis 2: Beyond Atlantis,2015-04-17,0,2.79,20,33
362930,Garfield Kart,2015-10-16,0,3.99,4262,598
362940,Courier of the Crypts,2019-04-18,0,15.49,31,0
362960,Tyranny,2016-11-10,0,23.79,6121,1001
363050,Lets Explore the Airport (Junior Field Trips),2015-04-24,0,4.99,27,1
363060,Lets Explore the Farm (Junior Field Trips),2015-04-24,0,4.99,16,0
363070,Lets Explore the Jungle (Junior Field Trips),2015-04-24,0,4.99,14,1
363090,NOBUNAGA’S AMBITION: Kakushin with Power Up Kit / 信長の野望・革新 with パワーアップキット,2015-06-25,0,39.99,50,13
355420,FLAMBERGE,2015-03-25,0,6.99,78,7
355430,//SNOWFLAKE TATTOO//,2015-03-27,0,3.99,35,63
355460,Thunderbird: The Legend Begins,2017-02-10,0,4.79,15,21
355490,Stratus: Battle For The Sky,2016-12-02,0,11.99,20,7
355500,Leadwerks Game Launcher,2015-08-24,0,0,30,12
355510,Crazy Belts,2016-01-05,0,2.79,16,22
355520,The Albino Hunter,2015-03-11,0,3.99,238,79
355530,Last Word,2015-05-08,0,6.99,262,50
355560,Trigger Runners,2016-03-03,0,1.59,47,15
355570,ENIGMA : An Illusion Named Family,2015-03-19,0,3.99,23,1
355630,Leo’s Fortune - HD Edition,2015-09-08,0,4.99,196,18
355650,Pirates vs Corsairs: Davy Joness Gold,2015-03-16,0,3.99,13,9
355670,Puzzle Expedition,2015-06-29,0,5.59,1,0
355690,Deputy Dangle,2016-07-29,0,6.99,15,3
355760,Drizzlepath,2015-03-12,0,1.99,243,208
355790,Styx: Shards of Darkness,2017-03-14,0,34.99,1532,388
355800,Space Run Galaxy,2016-06-17,0,14.99,478,269
355810,Centauri Sector,2015-06-23,0,3.99,29,16
355820,FutureGrind,2019-01-22,0,14.99,20,0
355840,Survarium,2015-04-02,16,0,9985,9441
355860,Albino Lullaby: Episode 1,2015-09-14,0,7.19,243,79
355910,Piloteer,2015-09-25,0,1.99,18,3
355920,Pixel Puzzles 2: Space,2016-02-19,0,6.99,211,27
355970,Home is Where One Starts...,2015-05-12,0,1.99,339,112
355980,Dungeon Warfare,2015-11-04,0,6.99,990,37
356000,The Hero of Kendrickstone,2015-03-13,0,4.79,83,22
356040,Sheltered,2016-03-15,0,9.99,2998,818
356050,Beyond Eyes,2015-08-11,0,9.99,683,314
356070,Commander Cool 2,2015-12-17,0,1.99,926,122
356090,Machineers - Episode 1: Tivoli Town,2015-05-15,0,3.99,25,1
356100,Fuego!,2015-11-16,0,3.99,43,5
356110,Box Out!,2015-05-04,0,4.99,12,1
356130,Heroes of Scene,2015-08-26,0,0,349,343
356160,The Emptiness Deluxe Edition,2015-04-17,0,6.99,28,62
356170,Tile Rider,2015-06-04,0,2.79,13,2
356180,Time Machine VR,2016-05-19,0,22.99,65,40
356190,Middle-earth™: Shadow of War™,2017-10-09,18,34.99,19813,5633
356210,Tony Tough and the Night of Roasted Moths,2015-05-07,0,6.99,10,6
356250,Gathering Sky,2015-08-13,0,3.99,70,5
356260,Stalingrad,2015-03-25,0,3.99,166,26
356270,Cuban Missile Crisis,2015-03-25,0,3.99,76,31
356280,Desert Law,2015-03-25,0,1.99,23,16
356290,Cuban Missile Crisis: Ice Crusade,2015-03-25,0,3.99,20,10
356310,METAL SLUG DEFENSE,2015-05-01,0,0,736,735
356370,Soccer Manager 2015,2015-07-16,0,0,367,169
356380,Orbit HD,2015-03-18,0,1.69,54,30
