GENRE_ID,VIDEOGAME_ID
2,42700
2,42910
2,43000
2,43190
2,44100
2,45700
2,45710
2,45720
2,45730
2,45740
2,45750
2,45760
2,45770
2,46200
2,46250
2,46400
2,46410
2,46520
2,46540
2,46600
2,47110
2,47120
2,47780
2,47790
2,48190
2,48700
2,48720
2,49520
2,49600
2,49800
2,49900
2,50130
2,50300
2,50510
2,55100
2,55110
2,55150
2,55230
2,57000
2,57300
2,57680
2,57700
2,57900
2,60340
2,60600
2,61730
2,62000
2,63000
2,63200
2,63500
2,63700
2,63710
2,65540
2,65560
2,65740
2,65780
2,65790
2,65800
2,65930
2,67000
2,67370
2,70000
2,70300
2,70420
2,70500
2,71000
2,71230
2,71260
2,71340
2,80000
2,91200
2,91330
2,91600
2,91700
2,91900
2,92000
2,92200
2,92210
2,92220
2,92300
2,92600
2,92700
2,93200
2,94200
2,94400
2,95000
2,95300
2,95400
2,95900
2,96100
2,96200
2,96800
2,96900
2,97100
2,98300
2,98400
2,98500
2,98600
2,98900
2,99100
2,99120
2,99300
2,99400
2,99410
2,99900
2,102400
2,102500
2,102600
2,102810
2,102840
2,102850
2,104100
2,104900
2,105420
2,105600
2,105700
2,105800
2,107100
2,107200
2,107410
2,107600
2,108500
2,108700
2,108710
2,108800
2,109500
2,110500
2,110600
2,110610
2,110630
2,111400
2,111600
2,113020
2,113200
2,113400
2,115120
2,115320
2,115800
2,200020
2,200210
2,200260
2,200410
2,200710
2,200900
2,201070
2,201480
2,201570
2,201790
2,201810
2,201870
2,202370
2,202410
2,202710
2,202730
2,202750
2,202970
2,203140
2,203160
2,203210
2,203290
2,203510
2,203750
2,203990
2,204030
2,204100
2,204300
2,204340
2,204360
2,204390
2,204530
2,204560
2,204580
2,204630
2,204760
2,204860
2,205060
2,205070
2,205080
2,205090
2,205100
2,205230
2,205550
2,205610
2,205730
2,205830
2,205950
2,206190
2,206210
2,206230
2,206250
2,206370
2,206420
2,206480
2,206500
2,207000
2,207140
2,207190
2,207230
2,207320
2,207350
2,207370
2,207380
2,207400
2,207420
2,207490
2,207530
2,207650
2,207730
2,207750
2,207930
2,208200
2,208460
2,208650
2,208670
2,208710
2,208730
2,208750
2,209000
2,209060
2,209080
2,209100
2,209120
2,209160
2,209190
2,209330
2,209360
2,209540
2,209630
2,209650
2,209670
2,209730
2,209750
2,209830
2,210170
2,210770
2,210950
2,211010
2,211160
2,211260
2,211280
2,211400
2,211580
2,211600
2,211740
2,211780
2,211820
2,212010
2,212030
2,212070
2,212110
2,212160
2,212390
2,212630
2,212700
2,212800
2,213330
2,213350
2,213610
2,213670
2,214250
2,214360
2,214420
2,214490
2,214570
2,214590
2,214630
2,214730
2,214770
2,214830
2,214870
2,214910
2,214970
2,215280
2,215390
2,215470
2,215530
2,215550
2,215630
2,215690
2,215710
2,215770
2,215830
2,216110
2,216910
2,217120
2,217140
2,217270
2,217290
2,217750
2,217920
2,218060
2,218230
2,218620
2,218640
2,218660
2,218820
2,219070
2,219150
2,219190
2,219200
2,219640
2,219830
2,219990
2,220160
2,220240
2,220440
2,220460
2,220820
2,220860
2,220900
2,221040
2,221100
2,221640
2,222140
2,222180
2,222420
2,222440
2,222480
2,222500
2,222880
2,222940
2,222980
2,223100
2,223220
2,223430
2,223450
2,223470
2,223510
2,223710
2,223730
2,223810
2,224040
2,224260
2,224300
2,224480
2,224600
2,224820
2,224900
2,224920
2,224940
2,224960
2,224980
2,225000
2,225020
2,225080
2,225160
2,225260
2,225280
2,225300
2,225320
2,225360
2,225540
2,225600
2,225840
2,226100
2,226720
2,227100
2,227160
2,227200
2,227220
2,227380
2,227560
2,227580
2,227780
2,227800
2,227940
2,228200
2,228300
2,228320
2,228380
2,229480
2,229560
2,229810
2,229870
2,229890
2,230270
2,230310
2,230410
2,230700
2,230840
2,231040
2,231160
2,231330
2,232090
2,232750
2,232770
2,232970
2,233130
2,233150
2,233190
2,233210
2,233270
2,233290
2,233350
2,233410
2,233550
2,233610
2,233720
2,233860
2,233980
2,234080
2,234140
2,234160
2,234190
2,234290
2,234370
2,234390
2,234490
2,234670
2,234900
2,235070
2,235210
2,235340
2,235460
2,235540
2,235600
2,235720
2,235820
2,236090
2,236110
2,236150
2,236370
2,236390
2,236430
2,236450
2,236470
2,236490
2,236510
2,236730
2,237310
2,237630
2,237740
2,237760
2,237870
2,237930
2,238010
2,238050
2,238090
2,238210
2,238240
2,238320
2,238370
2,238430
2,238460
2,238530
2,238630
2,238870
2,238960
2,239070
2,239090
2,239140
2,239160
2,239200
2,239250
2,239430
2,239720
2,239800
2,240320
2,240340
2,240360
2,240440
2,240620
2,240720
2,240970
2,241410
2,241560
2,241600
2,241720
2,241760
2,242050
2,242110
2,242130
2,242530
2,242640
2,242680
2,242700
2,242720
2,242760
2,242820
2,242840
2,242860
2,242880
2,243120
2,243160
2,243280
2,243450
2,243470
2,243800
2,243930
2,243950
2,243970
2,244450
2,244590
2,244730
2,244750
2,244770
2,244810
2,244850
2,244870
2,244890
2,245170
2,245280
2,245300
2,246420
2,246580
2,246680
2,246700
2,246740
2,246800
2,246820
2,246840
2,246880
2,246920
2,246960
2,247020
2,247080
2,247240
2,247370
2,247430
2,247660
2,247730
2,247950
2,248310
2,248330
2,248350
2,248470
2,248530
2,248550
2,248570
2,248610
2,248630
2,248820
2,249130
2,249610
2,249680
2,249870
2,249990
2,250050
2,250070
2,250110
2,250180
2,250340
2,250400
2,250420
2,250500
2,250540
2,250580
2,250620
2,250640
2,250660
2,250700
2,250720
2,250760
2,250900
2,251230
2,251370
2,251410
2,251470
2,251510
2,251530
2,251570
2,251690
2,251770
2,251830
2,251850
2,251950
2,252010
2,252030
2,252070
2,252110
2,252170
2,252230
2,252270
2,252310
2,252330
2,252350
2,252410
2,252430
2,252470
2,252490
2,252570
2,252610
2,252630
2,252750
2,252830
2,252870
2,252950
2,252970
2,253030
2,253150
2,253290
2,253330
2,253350
2,253390
2,253410
2,253430
2,253490
2,253570
2,253610
2,253690
2,253710
2,253750
2,253840
2,254460
2,254480
2,254700
2,254960
2,255070
2,255340
2,255370
2,255870
2,256190
2,257030
2,257050
2,257120
2,257510
2,257630
2,257750
2,257770
2,257790
2,257850
2,258010
2,258050
2,258070
2,258180
2,258220
2,258590
2,258970
2,259020
2,259080
2,259170
2,259190
2,259320
2,259340
2,259390
2,259450
2,259510
2,259570
2,259620
2,259640
2,259660
2,259810
2,259830
2,259870
2,260160
2,260190
2,260210
2,260250
2,260330
2,260530
2,260650
2,260730
2,260790
2,261110
2,261180
2,261490
2,261530
2,261640
2,261700
2,261740
2,261760
2,261880
2,261900
2,262080
2,262100
2,262120
2,262150
2,262190
2,262210
2,262240
2,262260
2,262390
2,262470
2,262550
2,262630
2,262750
2,262770
2,262790
2,262830
2,262920
2,262960
2,262980
2,263020
2,263060
2,263080
2,263200
2,263300
2,263340
2,263360
2,263420
2,263480
2,263500
2,263620
2,263640
2,263680
2,263700
2,263720
2,263740
2,263760
2,263820
2,263880
2,263920
2,263960
2,263980
2,264000
2,264080
2,264160
2,264200
2,264220
2,264240
2,264260
2,264280
2,264300
2,264340
2,264440
2,264460
2,264480
2,264540
2,264730
2,265000
2,265170
2,265300
2,265380
2,265470
2,265550
2,265590
2,265630
2,265730
2,265750
2,265770
2,265830
2,266050
2,266110
2,266130
2,266150
2,266170
2,266190
2,266250
2,266330
2,266370
2,266510
2,267220
2,267360
2,267490
2,267530
2,267900
2,267920
2,267940
2,267960
2,268050
2,268130
2,268200
2,268220
2,268240
2,268340
2,268520
2,268650
2,268670
2,268750
2,268870
2,268910
2,268990
2,269150
2,269210
2,269230
2,269270
2,269310
2,269370
2,269490
2,269530
2,269610
2,269630
2,269650
2,269670
2,269710
2,269770
2,269810
2,270010
2,270030
2,270070
2,270090
2,270110
2,270150
2,270270
2,270330
2,270410
2,270430
2,270450
2,270510
2,270550
2,270590
2,270610
2,270630
2,270810
2,270910
2,271500
2,271570
2,271590
2,271640
2,271670
2,271730
2,272330
2,272470
2,272510
2,272620
2,273110
2,273500
2,273570
2,273580
2,273590
2,273600
2,273620
2,273830
2,273960
2,274010
2,274170
2,274190
2,274230
2,274270
2,274480
2,274500
2,274520
2,274560
2,274900
2,274940
2,275060
2,275200
2,275390
2,275470
2,275490
2,275530
2,275570
2,275610
2,275850
2,276730
2,276890
2,277390
2,277430
2,277490
2,277510
2,277520
2,277590
2,277650
2,277870
2,277890
2,278080
2,278100
2,278420
2,278510
2,278620
2,278640
2,278810
2,278850
2,278890
2,278930
2,278970
2,279070
2,279160
2,279520
2,279580
2,279920
2,280010
2,280040
2,280160
2,280180
2,280200
2,280380
2,280460
2,280500
2,280520
2,280560
2,280600
2,280640
2,280790
2,280890
2,280930
2,281220
2,281260
2,281410
2,281820
2,281860
2,281920
2,281940
2,282010
2,282030
2,282100
2,282140
2,282440
2,282530
2,282620
2,282640
2,282780
2,282860
2,283080
2,283100
2,283160
2,283270
2,283290
2,283330
2,283350
2,283370
2,283390
2,283410
2,283430
2,283640
2,283660
2,283680
2,283820
2,283840
2,284140
2,284180
2,284220
2,284410
2,284460
2,284910
2,284930
2,284970
2,284990
2,285010
2,285090
2,285190
2,285440
2,285500
2,285520
2,285670
2,285820
2,285840
2,285900
2,285920
2,285980
2,286000
2,286040
2,286100
2,286440
2,286520
2,286660
2,286690
2,286730
2,286770
2,286810
2,286830
2,286880
2,286930
2,286940
2,287100
2,287120
2,287290
2,287390
2,287700
2,287840
2,287860
2,287920
2,288000
2,288020
2,288100
2,288260
2,288370
2,288880
2,289180
2,289220
2,289280
2,289300
2,289400
2,289480
2,289620
2,289650
2,289690
2,289760
2,290000
2,290040
2,290080
2,290280
2,290300
2,290320
2,290440
2,290470
2,290490
2,290530
2,290650
2,290770
2,290890
2,291070
2,291130
2,291250
2,291270
2,291330
2,291390
2,291430
2,291480
2,291550
2,291860
2,291910
2,291960
2,292060
2,292390
2,292420
2,292480
2,292500
2,292570
2,292600
2,292730
2,293180
2,293220
2,293240
2,293400
2,293420
2,293440
2,293460
2,293540
2,293600
2,293720
2,293780
2,293840
2,293900
2,293940
2,294000
2,294040
2,294060
2,294140
2,294230
2,294280
2,294460
2,294590
2,294750
2,294770
2,294790
2,294810
2,294860
2,295490
2,295610
2,295650
2,295670
2,295690
2,295730
2,295770
2,295790
2,295870
2,295910
2,295950
2,296010
2,296030
2,296150
2,296180
2,296300
2,296490
2,296510
2,296630
2,296650
2,296730
2,296830
2,296890
2,296910
2,296930
2,297020
2,297060
2,297100
2,297120
2,297130
2,297310
2,297370
2,297410
2,297450
2,297620
2,297740
2,297860
2,298110
2,298180
2,298240
2,298280
2,298340
2,298360
2,298400
2,298480
2,298520
2,298560
2,298600
2,298630
2,298790
2,299030
2,299050
2,299260
2,299340
2,299360
2,299380
2,299420
2,299440
2,299460
2,299480
2,299580
2,299660
2,299740
2,299800
2,299840
2,299950
2,300040
2,300260
2,300340
2,300380
2,300580
2,300760
2,300820
2,300840
2,300910
2,301190
2,301200
2,301220
2,301300
2,301360
2,301420
2,301460
2,301500
2,301520
2,301540
2,301640
2,301650
2,301680
2,301750
2,301760
