TAG_ID,VIDEOGAME_ID
14,230270
14,230310
14,230410
14,231330
14,232750
14,232770
14,232970
14,233130
14,233150
14,233190
14,233210
14,233350
14,233410
14,233550
14,234080
14,234140
14,234160
14,234290
14,234370
14,234670
14,235070
14,235210
14,235460
14,235540
14,235600
14,235720
14,235820
14,236090
14,236370
14,236490
14,236510
14,236730
14,237760
14,238050
14,238090
14,238430
14,238530
14,238630
14,238870
14,239090
14,239160
14,239250
14,239720
14,239800
14,240320
14,240340
14,240360
14,241410
14,241720
14,241760
14,242050
14,242110
14,242130
14,242530
14,242680
14,242700
14,242720
14,242840
14,243160
14,243280
14,243450
14,243470
14,243800
14,243930
14,244590
14,244750
14,244810
14,244890
14,245280
14,245300
14,246680
14,246700
14,246800
14,246820
14,246840
14,246880
14,246920
14,246960
14,247240
14,247370
14,247430
14,247730
14,247950
14,248310
14,248330
14,248350
14,248530
14,248550
14,248630
14,249610
14,249680
14,249870
14,249990
14,250070
14,250110
14,250180
14,250500
14,250640
14,250660
14,250700
14,250720
14,251230
14,251410
14,251470
14,251530
14,251690
14,251770
14,251830
14,252010
14,252030
14,252070
14,252110
14,252170
14,252230
14,252270
14,252310
14,252430
14,252470
14,252570
14,252610
14,252970
14,253290
14,253350
14,253410
14,253570
14,253610
14,253980
14,254460
14,254480
14,254700
14,255070
14,255370
14,255870
14,256070
14,256190
14,257030
14,257630
14,257770
14,257790
14,258010
14,258070
14,258180
14,258220
14,258590
14,258880
14,258970
14,259080
14,259170
14,259190
14,259320
14,259340
14,259390
14,259510
14,259620
14,259660
14,259830
14,259870
14,260160
14,260190
14,260210
14,260250
14,260530
14,260650
14,260790
14,261110
14,261490
14,261640
14,261740
14,261760
14,261880
14,262080
14,262100
14,262120
14,262190
14,262210
14,262240
14,262260
14,262550
14,262630
14,262750
14,262770
14,262790
14,262830
14,262980
14,263060
14,263080
14,263340
14,263360
14,263480
14,263640
14,263680
14,263700
14,263720
14,263880
14,263920
14,263960
14,264000
14,264080
14,264200
14,264220
14,264260
14,264300
14,264340
14,264440
14,264460
14,264480
14,264540
14,264730
14,265000
14,265170
14,265300
14,265550
14,265590
14,265730
14,265750
14,265770
14,266050
14,266150
14,266250
14,266370
14,266510
14,267360
14,267490
14,267530
14,267920
14,267940
14,267960
14,267980
14,268130
14,268200
14,268220
14,268240
14,268340
14,268520
14,268670
14,268990
14,269230
14,269370
14,269530
14,269630
14,269670
14,269710
14,270010
14,270030
14,270070
14,270150
14,270330
14,270410
14,270430
14,270510
14,270610
14,270810
14,270910
14,271500
14,271570
14,271590
14,271640
14,271670
14,271730
14,272330
14,272470
14,272620
14,273500
14,273570
14,273580
14,273590
14,273600
14,273830
14,273940
14,273960
14,274010
