DEVELOPER_ID,VIDEOGAME_ID
604,338960
604,338980
604,344440
604,346140
604,347590
604,347610
604,352140
604,354310
604,361930
604,361950
604,361970
604,390940
604,391000
604,395930
604,403090
604,403100
604,416310
604,443370
604,448400
604,486810
604,510110
604,566930
604,566940
604,569140
604,572570
604,572580
604,637920
604,637930
604,637940
605,560760
606,765690
607,478020
608,361930
608,394680
608,395930
608,560750
608,765770
608,836540
608,836550
608,836560
608,1048920
609,811440
610,707590
611,691620
611,950130
612,395520
613,589680
614,786740
615,425450
616,379320
616,700920
617,577690
618,805400
618,874140
618,884900
619,1017490
619,1019020
619,1019580
620,788190
621,534960
622,938240
623,660270
624,645380
625,357780
625,407560
625,644640
625,746140
625,816240
626,347520
626,383950
626,521280
626,548320
627,436820
628,271990
628,277470
628,278530
628,280140
628,298820
628,298830
628,298840
628,298850
628,332380
628,332390
628,332400
628,332410
628,370670
628,459640
628,461340
628,461350
629,836350
630,485600
630,527150
630,851530
630,979260
631,828160
632,750450
633,613190
634,358610
635,769060
636,502740
636,764030
636,1017100
636,1035800
637,805610
638,690930
639,542650
639,619330
639,1009230
640,489240
641,214970
642,850040
643,511420
644,531660
645,489360
646,568930
647,1058430
648,1027480
649,763200
650,745520
651,713220
651,778330
652,979300
653,594160
654,602880
655,519200
655,1025480
656,920280
657,340380
658,931220
659,890880
660,319830
661,326960
662,852500
663,384250
664,953440
665,609400
666,382330
667,968360
668,391820
669,664600
670,428940
671,912680
672,403740
673,713220
673,845700
673,924870
674,808220
675,875300
676,578740
677,219890
678,865330
679,960270
680,593330
680,645290
681,912810
682,466480
683,745030
684,395420
685,708930
686,652050
687,833010
688,1017580
689,642570
690,459100
691,412130
692,353260
693,682960
694,748050
695,673140
696,779700
697,654700
698,992420
699,235660
699,369990
699,893560
700,353640
700,465760
700,508390
700,602320
701,709280
702,513620
703,379420
704,454100
704,751640
705,688580
705,710540
706,713540
707,470270
708,724090
709,582980
710,800520
710,841570
711,308360
712,1028550
713,727540
714,847900
715,467430
716,37220
717,465540
717,574860
718,349220
718,449730
718,544390
719,812430
720,391310
720,714640
720,896400
720,906880
721,691700
722,749730
723,683840
724,441050
725,95300
725,208750
725,287220
725,344740
725,389220
725,414120
725,417890
726,400200
727,504280
727,583590
727,765470
728,989780
729,652180
730,383330
730,451880
730,748010
731,679490
732,674180
733,523170
734,445140
735,322750
736,410470
737,809310
738,402330
739,320330
739,680620
740,525620
741,384230
742,953990
743,445750
744,257050
745,1000830
746,344300
747,398670
748,227780
749,414530
750,868100
751,1046530
752,497490
753,880890
754,509220
754,581970
754,793600
754,998730
755,207170
755,251730
756,1022160
757,790050
758,994320
759,558660
760,968320
761,625460
762,724900
763,638060
764,398180
764,427890
765,878330
766,378350
767,316840
768,707010
769,817200
770,465130
770,1042290
771,371410
772,968170
773,374420
774,764780
775,749540
776,972280
777,961560
778,661440
779,33950
779,235320
779,237950
780,292160
781,1011230
782,795050
783,340190
784,976020
785,933930
786,607200
787,433110
788,461600
789,752640
790,328830
790,367550
790,524430
790,528640
790,636460
790,914180
790,914200
791,442210
791,588030
792,407060
793,556540
794,489740
795,719090
795,738620
796,457960
796,718380
797,1031810
798,739220
799,40700
799,40720
799,207690
799,421120
799,711660
800,819880
801,272010
801,278490
801,321880
801,321890
801,433920
802,489220
802,503820
802,535760
802,540900
802,547960
802,562640
802,575860
802,619400
802,621150
802,627950
802,629380
803,686090
804,767810
805,876210
806,569570
807,987000
808,517990
809,791770
810,614460
811,509770
811,731920
811,950990
812,364970
813,420180
814,692110
815,352140
815,466780
815,467430
816,644660
817,435230
818,622870
819,351410
820,801610
821,622310
822,608630
823,516750
824,938960
825,710990
825,817120
826,349980
826,772500
827,696540
828,763290
829,392730
830,670020
831,860330
832,503460
833,1014350
834,977100
835,509930
835,707320
835,825970
835,861210
835,878500
835,886010
835,897420
835,914900
835,937620
835,989250
835,1008140
836,353070
836,353080
836,359140
836,371710
836,376920
836,402850
836,406080
836,489470
836,492490
836,541720
837,355190
838,950210
838,1006760
