CATEGORY_ID,VIDEOGAME_ID
1,613270
1,614090
1,615730
1,615770
1,615780
1,617480
1,617590
1,618270
1,618550
1,619340
1,620940
1,622010
1,622820
1,624780
1,625990
1,626160
1,626250
1,629690
1,629860
1,630060
1,630360
1,632050
1,632110
1,632840
1,633580
1,633600
1,635830
1,636330
1,640150
1,643200
1,643610
1,644380
1,645860
1,648020
1,648510
1,648530
1,651010
1,654880
1,655770
1,656380
1,658060
1,661490
1,662410
1,663240
1,664780
1,665040
1,665090
1,665240
1,671720
1,672010
1,673070
1,673620
1,675180
1,676480
1,676760
1,677300
1,677330
1,677850
1,678240
1,679780
1,680140
1,680700
1,680980
1,681260
1,683630
1,684060
1,687270
1,688000
1,688260
1,688330
1,691690
1,692100
1,696310
1,696480
1,698710
1,699010
1,699740
1,700830
1,701730
1,703620
1,704670
1,705120
1,706030
1,709290
1,710610
1,711240
1,711330
1,711350
1,711810
1,715440
1,717120
1,717830
1,718200
1,720150
1,721390
1,721760
1,722330
1,722600
1,723270
1,726230
1,726460
1,727180
1,727730
1,728870
1,731520
1,732950
1,734120
1,734730
1,735110
1,738080
1,738210
1,738530
1,740400
1,742150
1,742460
1,748890
1,749580
1,750770
1,751500
1,752810
1,752830
1,752850
1,754160
1,754850
1,755150
1,755770
1,757080
1,757350
1,757450
1,757910
1,760970
1,762860
1,763930
1,763950
1,764430
1,767910
1,770440
1,770460
1,771810
1,772240
1,772300
1,772320
1,772340
1,772360
1,773770
1,775430
1,775460
1,776000
1,776020
1,784940
1,786290
1,786580
1,792940
1,793450
1,794600
1,796940
1,797640
1,799260
1,799420
1,800030
1,800050
1,800560
1,800580
1,800600
1,800620
1,805120
1,805150
1,805370
1,811800
1,811950
1,812140
1,813450
1,814590
1,816330
1,817510
1,830630
1,830980
1,833990
1,836330
1,836450
1,838050
1,839940
1,847290
1,847300
1,847310
1,849560
1,849800
1,852790
1,858780
1,861860
1,864100
1,864740
1,868780
1,873230
1,874760
1,878640
1,879090
1,879510
1,881260
1,884400
1,884410
1,884420
1,884430
1,885120
1,886180
1,888010
1,889030
1,891960
1,894390
1,897030
1,907380
1,913010
1,913500
1,915460
1,917680
1,918380
1,921970
1,922410
1,926310
1,928680
1,928830
1,929020
1,929030
1,936890
1,941480
1,948830
1,949060
1,952010
1,952020
1,952030
1,955360
1,955370
1,955380
1,960700
1,971430
1,987190
1,987200
1,992330
1,992520
1,997530
1,998850
1,1011960
1,1016630
1,1016970
1,1029130
1,1029150
1,1044630
1,1046820
1,1050210
2,500
2,550
2,570
2,620
2,630
2,1250
2,1630
2,1640
2,1900
2,2310
2,2320
2,2920
2,3710
2,4000
2,4520
2,4530
2,6080
2,6400
2,6800
2,6810
2,6830
2,6840
2,7020
2,7520
2,8500
2,9060
2,9200
2,9460
2,9850
2,9880
2,9900
2,10090
2,10180
2,10680
2,11240
2,11480
2,12790
2,13210
2,15120
2,15210
2,15300
2,15620
2,17080
2,17500
2,20570
2,21030
2,21100
2,21690
2,22350
2,22610
2,22650
2,22670
2,23420
2,23530
2,24240
2,25700
2,25890
2,27200
2,27330
2,27940
2,28000
2,32710
2,32770
2,33900
2,33930
2,35700
2,35720
2,36900
2,36910
2,37500
2,39000
2,39120
2,39210
2,39800
2,40400
2,40420
2,40980
2,41000
2,41070
2,42170
2,42500
2,42700
2,42910
2,43190
2,44360
2,45000
2,45740
2,45750
2,45770
2,46400
2,46540
2,48110
2,49470
2,49520
2,49600
2,55110
2,55230
2,60600
2,61700
2,61730
2,63000
2,63200
2,63940
2,64000
2,65530
2,65730
2,65800
2,67370
2,71000
2,71260
2,72400
2,80000
2,90200
2,91600
2,91700
2,92100
2,92220
2,94200
2,95400
2,96200
2,97110
2,97120
2,97130
2,97330
2,99100
2,99300
2,99900
2,99910
2,102400
2,102810
2,102840
2,104900
2,105420
2,105600
2,107410
2,108600
2,108700
2,109600
2,110630
2,111400
2,113020
2,113420
2,115120
2,200170
2,200210
2,200710
2,201070
2,201510
2,201790
2,202130
2,202970
2,203680
2,203750
2,204300
2,204340
2,204360
2,204880
2,204960
2,205550
2,205730
2,206230
2,206420
2,206500
2,207230
2,207790
2,208500
2,208670
2,209100
2,209120
2,209330
2,209750
2,210770
2,211280
2,211580
2,211820
2,211900
2,212070
2,212160
2,212630
2,212700
2,213850
2,214360
2,214630
2,214830
2,214870
2,215390
2,215510
2,215530
2,215690
2,215830
2,216150
2,216260
2,217200
2,217290
2,218510
2,218620
2,218820
2,219830
2,219990
2,220240
2,220260
2,221040
2,221540
2,222480
2,222880
2,223100
2,223430
2,223710
2,224260
2,224600
2,225280
2,225420
2,225840
2,226100
2,226580
2,226840
2,226960
2,227100
2,227560
2,227780
2,227800
2,227860
2,228280
2,228320
2,229480
2,229810
2,230410
2,231310
2,231330
2,231430
2,232090
2,233190
2,233980
2,235340
2,235540
2,235600
2,236110
2,236370
2,236390
2,236430
2,236510
2,237310
2,237870
2,238090
2,238210
2,238240
2,238370
2,238430
2,238460
2,238630
2,238890
2,238960
2,239070
2,239140
2,240620
2,241410
2,241720
2,241760
2,242530
2,242720
2,242760
2,243780
2,243800
2,244030
2,244050
2,244450
2,244770
2,244810
2,244850
2,245050
2,245620
2,246880
2,246900
2,247950
2,248170
2,248390
2,248610
2,248630
2,248820
2,249050
2,249550
2,249610
2,249990
2,250180
2,250400
2,250560
2,251170
2,251230
2,251570
2,251890
2,252490
2,252690
2,252870
2,252950
2,252970
2,253250
2,253350
2,253430
2,253690
2,253710
2,254200
2,254300
2,254820
2,254840
2,255070
2,257350
2,257750
2,257770
2,258010
2,258970
2,259060
2,259570
2,259620
2,260930
2,261640
2,262120
2,263200
2,263360
2,263420
2,263480
2,263500
2,263700
2,263720
2,263920
2,263960
2,264000
2,264160
2,264300
2,265210
2,265550
2,265590
2,265970
2,266190
2,266370
2,266840
2,268220
2,268520
2,268650
2,268870
2,268990
2,269210
2,269630
2,269770
2,270150
2,270450
2,270550
2,271240
2,271570
2,271760
2,272470
2,272620
2,273110
2,273500
2,274190
2,274480
2,274560
2,274900
2,275060
2,275850
2,276730
2,277390
2,277910
2,279070
2,280160
2,280180
2,280790
2,282590
2,282780
2,282860
2,283000
2,283020
2,283490
2,286160
2,286940
2,287290
2,287450
2,287580
2,288140
2,289650
2,289690
2,289760
2,289950
2,290080
2,290530
2,290730
2,291480
2,291550
2,291860
2,293260
2,293860
2,294160
2,295670
2,296790
2,298110
2,298160
2,298280
2,298420
2,298610
2,299420
2,299480
2,299720
2,299840
2,300040
2,301300
2,301640
2,301910
2,302320
2,302510
2,302670
2,303260
2,303510
2,303910
2,304050
2,304580
2,304910
2,305390
2,305460
2,306000
2,306020
2,306640
2,306670
2,307110
2,307130
2,307290
2,307620
2,307960
2,307980
2,308080
2,308520
2,310810
2,311210
2,311290
2,311480
2,311800
2,312360
2,312610
2,312650
2,312660
2,312920
2,313160
2,313470
2,314000
2,314150
2,314350
2,314410
2,314530
2,314710
2,314950
2,314970
2,315080
2,315130
2,315460
2,315660
2,316010
2,316390
2,316430
2,319050
2,319430
2,319910
2,320040
2,321270
2,321360
2,321400
2,321800
2,321830
2,322110
2,322330
2,322780
2,323220
2,323460
2,323470
2,324080
2,324310
2,324510
2,324800
2,324810
2,326110
2,326160
2,326340
2,326410
2,326960
2,327090
2,327500
2,327860
2,327960
2,328510
2,328940
2,329280
2,330270
2,330460
2,330580
2,330880
2,331200
2,331360
2,331500
2,332500
2,332570
2,332780
2,333420
2,333660
2,333950
2,333990
2,334210
2,334560
2,334920
2,335150
2,335300
2,335440
2,335700
2,336040
2,336420
2,336520
2,336670
2,337150
2,337270
2,337320
2,337480
2,338810
2,339000
2,339090
2,339280
2,339440
2,340560
2,340570
2,341080
2,341550
2,341570
2,341660
2,341800
2,341910
2,342240
2,342310
2,342480
2,342570
2,342610
2,342620
2,342640
2,342660
2,342920
2,343360
2,343560
2,343630
2,344190
2,344890
2,345180
2,346010
2,346110
2,346120
2,346150
2,346330
2,346470
2,346490
2,346730
2,346800
2,347050
2,347330
2,347950
2,348470
2,348650
2,348700
2,348810
2,348980
2,349150
2,349670
2,349980
2,350220
2,350310
2,350600
2,350910
2,351100
2,351230
2,353090
2,353890
2,355180
2,357330
2,357340
2,357650
2,357670
2,357700
2,358460
2,359320
2,359550
2,359840
2,359900
2,359960
2,360170
2,360590
2,361230
2,361330
2,361690
2,361800
2,362310
2,362370
2,363130
2,363360
2,363670
2,364060
2,364420
2,364630
2,364720
2,364810
2,365590
2,365680
2,365750
2,365960
2,366090
2,366220
2,366250
2,366270
2,366610
2,366620
2,367080
2,368180
2,368690
2,369390
2,369890
2,369990
2,370130
2,370590
2,370600
2,370750
2,371380
2,371410
2,371510
2,371970
2,372750
2,372800
2,372970
2,373420
2,373720
2,374040
2,374320
2,374420
2,374630
2,375230
2,376120
2,376140
2,377460
2,377980
2,378370
2,378530
2,379720
2,380220
2,380600
2,380700
2,381020
2,381210
2,382050
2,382070
2,382250
2,382270
2,382310
2,382350
2,383120
2,383150
2,383180
2,384230
2,384490
2,385530
2,385730
2,385810
2,385830
2,385860
2,386070
2,386180
2,386390
2,386400
2,386640
2,386650
2,386770
2,386940
2,387090
2,387130
2,387870
2,387990
2,388440
2,388900
2,390090
2,390460
2,390670
2,390870
2,391190
2,391310
2,391440
2,391520
2,391730
2,392100
2,392290
2,392580
2,393410
2,393420
2,393460
2,393860
2,393950
2,394360
2,394510
2,394690
2,394760
2,394770
2,394840
2,394990
2,396360
2,397060
2,397160
2,397310
2,397320
2,397390
2,397860
2,397900
2,398170
2,398830
2,399140
2,399240
2,400080
2,400170
2,400230
2,400570
2,401170
2,401190
2,401250
2,401890
2,402170
2,402560
2,402710
2,402910
2,403270
2,403590
2,403950
2,404530
2,405000
2,405290
2,405500
2,405710
2,406220
2,406400
2,406760
2,406930
2,407060
2,407600
2,407620
2,407830
2,407840
2,408640
2,408900
2,408960
2,409340
2,409410
2,409510
2,410320
2,410390
2,410490
2,411320
2,411540
2,412050
2,412380
2,412540
2,412880
2,413030
2,413150
2,413500
2,413540
2,414190
2,414370
2,414510
2,414550
2,414740
2,414870
2,414920
2,415150
2,415590
2,415880
2,415900
2,416040
2,416180
2,416240
2,416450
2,416600
2,416700
2,416790
2,418030
2,418180
2,418340
2,418520
2,420550
2,420670
2,420790
2,420900
2,422650
2,422810
2,422980
2,423490
2,423890
2,424040
2,424370
2,424830
2,424850
2,425150
2,426190
2,426630
2,427250
2,428240
2,429050
2,429390
2,429700
2,429790
2,431180
2,431450
2,431930
2,432230
2,432420
2,432980
2,433530
2,433660
2,434380
2,434460
2,434510
2,434570
2,434650
2,434730
2,435150
2,435490
2,436180
2,436320
2,436520
2,436560
2,436820
2,436870
2,438100
2,438360
2,438490
2,439440
2,439960
2,440280
2,440730
2,440900
2,441790
2,442140
2,442220
2,442810
2,443110
2,443800
2,444480
2,444690
2,444830
2,444880
2,445220
2,445860
2,445870
2,446760
2,446870
2,447020
2,447040
2,447980
2,448070
2,448320
2,448520
2,449640
2,451600
2,451840
2,452180
2,453270
2,453690
2,454070
2,454180
2,454260
2,454650
2,454890
2,456830
2,457010
2,458040
2,458580
2,458660
2,458680
2,458700
2,459830
2,460930
2,461040
2,461180
2,461400
2,462250
2,462440
2,462630
2,462860
2,464070
2,464450
2,464650
2,465240
2,465780
2,465870
2,466290
2,466560
2,466660
2,466980
2,467810
2,467910
2,468100
2,468350
2,468560
2,468670
2,468740
2,469600
2,469920
2,470210
2,470220
2,471330
2,471550
2,471660
2,471710
2,473810
2,474730
2,474790
2,475150
2,476600
2,477200
2,477290
2,478980
2,484350
2,485610
2,486350
2,487000
2,487330
2,488440
2,489110
2,489380
2,489520
2,489630
2,490250
2,490920
2,491260
2,492860
2,493760
2,493900
2,495350
2,495570
2,495600
2,495680
2,496510
2,497850
2,498000
2,498340
2,498500
2,498740
2,498840
2,500260
2,500710
2,502920
2,503100
2,503240
2,503350
2,503750
2,503770
2,504300
2,504460
2,504490
2,506140
2,506730
2,507490
2,508520
2,508550
2,508760
2,509560
2,509580
2,509820
2,510000
2,510080
2,510500
2,510510
2,512020
2,512090
2,512160
2,512220
2,512490
2,512700
2,512770
2,512900
2,513300
2,513510
2,513880
2,514400
2,514410
2,514990
2,515180
2,516110
2,516430
2,516510
2,516790
2,516960
2,517140
2,517400
2,518040
2,520370
2,520670
2,521330
